III E 1 (Score=d100)
| Score	| *Name*						| *XP*	| *GP*	|
| 07	|  Manual of Golems (C, M) 		| 3000		| 30000	|
| 08	| Manual of Puissant Skill at Arms (F)	| 8000		| 40000	|
| 09	| Manual of Quickness of Action		| 5000		| 50000	|
| 10	| Manual of Stealthy Pilfering (T)		| 8000		| 40000	|
| 11	| Mattock of the Titans (F)			| 3500		| 7000	|
| 12	| Maul of the Titans			| 4000		| 12000	|
| 13->15	| Medallion of ESP				| "1000/3000"	| "10000/30000"	|
| 16->17	| Medallion of Thought Projection		| -		| 1000	|
| 18	| Mirror of Life Trapping (M)		| 2500		| 25000	|
| 19	| Mirror of Mental Prowess			| 5000		| 50000	|
| 20	| Mirror of Opposition			| -		| 2000	|
| 21->23	| Necklace of Adaptation			| 1000		| 10000	|
| 24->27	| Necklace of Missiles			| "50*"		| "200*"	|
| 28->33	| Necklace of Prayer Beads (C)		| "500**"		| "3000**"	|
| 34->35	| Necklace of Strangulation			| -		| 1000	|
| 36->38	|  Net of Entrapment (C, F, T) 		| 1000		| 7500	|
| 39->42	|  Net of Snaring (C, F, T) 			| 1000		| 6000	|
| 43->44	| Nolzurs' Marvelous Pigments		| "500***"		| "3000***"	|
| 45->46	| Pearl of Power (M)			| "200****"		| "2000****"	|
| 47->48	| Pearl of Wisdom (C)			| 500		| 5000	|
| 49->50	| Periapt of Foul Rotting			| -		| 1000	|
| 51->53	| Periapt of Health				| 1000		| 10000	|
| 54->60	| Periapt of Proof Against Poison		| 1500		| 12500	|
| 61->64	| Periapt of Wound Closure			| 1000		| 10000	|
| 65->70	| Phylactery of Faithfulness (C)		| 1000		| 7500	|
| 71->74	| Phylactery of Long Years (C)		| 3000		| 25000	|
| 75->76	| Phylactery of Monstrous Attention (C)	| -		| 2000	|
| 77->84	| Pipes of the Sewers			| 1750		| 8500	|
| 85	| Portable Hole				| 5000		| 50000	|
| 86->100	| Quaal's Feather Token			| "500/1000"	| "2000/7000"	|
#*  Per hit die of each missile.
#**  Per special bead.
#***  Per pot of pigments.
#****  Per level of spell.

III E 5 (Score=d100)
| Score	| *Name*					| *XP*	| *GP*	|
| 01	| Robe of the Archmagi (M)			| 6000		| 65000	|
| 02->08	| Robe of Blending				| 3500		| 35000	|
| 09	| Robe of Eyes (M)				| 4500		| 50000	|
| 10	| Robe of Powerlessness (M)		| -		| 1000	|
| 11	|  Robe of Scintillating Colors (C,M) 	| 2750		| 25000	|
| 12->19	| Robe of Useful Items (M)			| 1500		| 15000	|
| 20->25	| Rope of Climbing				| 1000		| 10000	|
| 26->27	| Rope of Constriction			| -		| 1000	|
| 28->31	| Rope of Entanglement			| 1250		| 12000	|
| 32	| Rug of Smothering			| -		| 1500	|
| 33	| Rug of Welcome (M)			| 6500		| 45000	|
| 34	| Saw of Mighty Cutting (F)			| 1750		| 12500	|
| 35	| Scarab of Death				| -		| 2500	|
| 36->38	| Scarab of Enraging Enemies		| 1000		| 8000	|
| 39->40	| Scarab of Insanity			| 1500		| 11000	|
| 41->46	| Scarab of Protection			| 2500		| 25000	|
| 47	| Spade of Colossal Excavation (F)		| 1000		| 6500	|
| 48	| Sphere of Annihilation (M)		| 3750		| 30000	|
| 49->50	| Stone of Controlling Earth Elementals	| 1500		| 12500	|
| 51->52	| Stone of Good Luck (Luckstone)		| 3000		| 25000	|
| 53->54	| Stone of Weight (Loadstone)		| -		| 1000	|
| 55->57	| Talisman of Pure Good (C)		| 3500		| 27500	|
| 58	| Talisman of the Sphere (M)		| 100		| 10000	|
| 59->60	| Talisman of Ultimate Evil (C)		| 3500		| 32500	|
| 61->66	| Talisman of Zagy				| 1000		| 10000	|
| 67	| Tome of Clear Thought			| 8000		| 48000	|
| 68	| Tome of Leadership and Influence		| 7500		| 40000	|
| 69	| Tome of Understanding			| 8000		| 43500	|
| 70->76	|  Trident of Fish Command (C, F, T) 	| 500		| 4000	|
| 77->78	| Trident of Submission (F)			| 1250		| 12500	|
| 79->83	|  Trident of Warning (C, F, I) 		| 1000		| 10000	|
| 84->85	| Trident of Yearning			| -		| 1000	|
| 86->87	| Vacuous Grimoire			| -		| 1000	|
| 88->90	| Well of Many Worlds			| 6000		| 12000	|
| 91->100	| Wings of Flying				| 750		| 7500	|

